timestamp,open_interest
2020-01-01,507450712.29516846
2020-01-02,459071887.1668811
2020-01-03,431712137.87673545
2020-01-04,405181954.1177645
2020-01-05,350466312.2896229
2020-01-06,317619470.87980825
2020-01-07,301873479.23264337
2020-01-08,263921638.76027033
2020-01-09,225908286.1753776
2020-01-10,204940271.4444011
2020-01-11,173088216.3629996
2020-01-12,148620370.47837788
2020-01-13,128153934.79561168
2020-01-14,98991862.36483617
2020-01-15,79723111.21039999
2020-01-16,63285264.701269135
2020-01-17,44496704.339610204
2020-01-18,28882494.359557524
2020-01-19,12174212.901755048
2020-01-20,-2320023.757123369
2020-01-21,-16934842.902952906
2020-01-22,-28706780.5322656
2020-01-23,-40568487.18074831
2020-01-24,-48814659.46075721
2020-01-25,-59459719.173156716
2020-01-26,-69094435.70587528
2020-01-27,-73636708.60643603
2020-01-28,-83614846.55254032
2020-01-29,-86536151.27362506
2020-01-30,-91804202.37123515
2020-01-31,-94439520.77484232
2020-02-01,-104319547.9921065
2020-02-02,-100551576.49452473
2020-02-03,-98269501.44018956
2020-02-04,-104047257.90948999
2020-02-05,-97077579.45193328
2020-02-06,-99812352.51244292
2020-02-07,-91137599.37754357
2020-02-08,-89973630.4484607
2020-02-09,-90373952.00036623
2020-02-10,-87147689.96230727
2020-02-11,-80386079.34598589
2020-02-12,-73755672.03609326
2020-02-13,-66783617.89652681
2020-02-14,-57468273.157054074
2020-02-15,-51134484.23353801
2020-02-16,-43190569.28380878
2020-02-17,-35856749.3990449
2020-02-18,-25419709.066157766
2020-02-19,-14238907.564538464
2020-02-20,-4439434.056811482
2020-02-21,6653146.310521578
2020-02-22,17955578.61187652
2020-02-23,30930344.396798078
2020-02-24,44170849.77870406
2020-02-25,57281639.81497506
2020-02-26,67252580.76677231
2020-02-27,81852460.7347299
2020-02-28,97551876.79421511
2020-02-29,114133128.17101993
2020-03-01,123681724.36940013
2020-03-02,139582522.8254574
2020-03-03,150341899.56741142
2020-03-04,164748619.38028163
2020-03-05,191022406.5861324
2020-03-06,210499943.61953047
2020-03-07,217768245.1348657
2020-03-08,241420456.40117535
2020-03-09,253343155.8402134
2020-03-10,261829744.9964469
2020-03-11,286535966.88813156
2020-03-12,313842329.0981937
2020-03-13,316247804.9116363
2020-03-14,348846438.4155327
2020-03-15,322338626.72380453
2020-03-16,375483161.60937905
2020-03-17,384029775.0898817
2020-03-18,395973442.9988094
2020-03-19,417156019.51242185
2020-03-20,406587502.89286536
2020-03-21,445652866.80985177
2020-03-22,469691267.2901406
2020-03-23,501968320.9061773
2020-03-24,488704519.06256825
2020-03-25,499569909.67985684
2020-03-26,519394173.34571177
2020-03-27,557329977.3064619
2020-03-28,562768317.3259791
2020-03-29,562738805.753376
2020-03-30,595100728.2875421
2020-03-31,601747395.8882647
2020-04-01,631411462.3152953
2020-04-02,613618699.4996954
2020-04-03,633434615.6180845
2020-04-04,644620472.2024862
2020-04-05,635360366.9941468
2020-04-06,682468192.8910128
2020-04-07,693452090.0630538
2020-04-08,699463263.7186669
2020-04-09,705342357.0735583
2020-04-10,690409313.7454793
2020-04-11,722181121.2033876
2020-04-12,733881364.34656
2020-04-13,733229111.7169344
2020-04-14,757155139.8140036
2020-04-15,779418384.1764508
2020-04-16,823142258.9241804
2020-04-17,791892189.6331224
2020-04-18,802363572.5368595
2020-04-19,802602928.8317825
2020-04-20,765574286.7459579
2020-04-21,819370453.3285768
2020-04-22,828963236.4748031
2020-04-23,896356157.2474455
2020-04-24,836794095.6878492
2020-04-25,856073699.0923932
2020-04-26,854033403.7870474
2020-04-27,831035896.5233864
2020-04-28,897061473.1338239
2020-04-29,892910197.3116361
2020-04-30,899753335.3863459
2020-05-01,860255074.206559
2020-05-02,927116751.3930057
2020-05-03,857150721.3203408
2020-05-04,915543657.920048
2020-05-05,963882901.4645834
2020-05-06,882007334.2691203
2020-05-07,897905301.0462644
2020-05-08,920407263.602716
2020-05-09,907823955.2999668
2020-05-10,882613187.9289594
2020-05-11,931368417.8399379
2020-05-12,903357646.9778432
2020-05-13,949901144.9132007
2020-05-14,914033974.6023962
2020-05-15,987055672.2362407
2020-05-16,924077492.4406582
2020-05-17,940137946.1436532
2020-05-18,975431845.6896781
2020-05-19,919704631.8692933
2020-05-20,964173594.0737194
2020-05-21,997865528.0336375
2020-05-22,916265381.9695723
2020-05-23,970426824.0105176
2020-05-24,974930422.7170093
2020-05-25,992358589.646172
2020-05-26,935710222.6466353
2020-05-27,935279109.8002129
2020-05-28,991160004.1335074
2020-05-29,986555056.1047087
2020-05-30,987115239.3704276
2020-05-31,991815806.1057
2020-06-01,963367733.203674
2020-06-02,992073077.4751054
2020-06-03,995630138.0458989
2020-06-04,967480172.4402244
2020-06-05,1045792642.6391282
2020-06-06,1006132900.8904705
2020-06-07,958175703.2032973
